Site Address,latitude,longitude,Applicant,Charging_bays,Charger_capacities,ObjId,Postcodes,ZoneType,Round,Zone (km)
" 134 Seven Hills Rd, Baulkham Hills NSW 2153, Australia",-33.7616125,150.9740938,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,22,2153,Metro,1,5
"444 West Botany St, Rockdale NSW 2216, Australia",-33.95986742,151.1457236,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,23,2216,Metro,1,5
"481 Pacific Hwy, Wyoming NSW 2250, Australia",-33.4080029,151.3511185,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,24,2250,Metro,1,5
"Cnr Cumberland Hwy & Cabramatta Rd W, Cabramatta NSW 2166, Australia",-33.8993725,150.9191077,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,25,2166,Metro,1,5
"712 Pennant Hills Rd, Carlingford NSW 2118, Australia",-33.7637531,151.0473629,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,26,2118,Metro,1,5
"149 Great Western Hwy, Mays Hill NSW 2145, Australia",-33.8193849,150.9893102,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,27,2145,Metro,1,5
"1233 Victoria Rd, West Ryde NSW 2114, Australia",-33.8067305,151.0708812,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,28,2114,Metro,1,5
"1234 Princes Hwy, Engadine NSW 2233, Australia",-34.0773764,151.011183,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,29,2233,Metro,1,5
"13 Southey St, Jerilderie NSW 2716, Australia",-35.3552251,145.7224171,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,30,2716,Regional,1,100
"156 Prospect Hwy, Seven Hills NSW 2147, Australia",-33.769198,150.9416014,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,31,2147,Metro,1,5
"7 Northwood Rd, Longueville NSW 2066, Australia",-33.824457,151.172717,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,32,2066,Metro,1,5
"76 Glossop St, North St Marys NSW 2760, Australia",-33.7601,150.7816,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,33,2760,Metro,1,5
" 362 Macquarie St, South Windsor NSW 2756, Australia",-33.6248393,150.8004409,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,34,2756,Metro,1,5
"1 Tasman Rd, Gumly Gumly NSW 2652, Australia",-35.1262153,147.4208819,BP Australia PTY LTD,4,This site will have one 360kW charging unit to service two bays and one 150kW charging unit to service two bays.,35,2652,Regional,1,100
"197 Beardy St, Armidale NSW 2350, Australia",-30.51220476,151.6647084,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,36,2350,Regional,1,100
"124 Corner Princes Highway and Port Hacking Rd, Sylvania NSW 2224, Australia",-34.0079119,151.1057425,Fast Cities Australia Pty Ltd,6,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,37,2224,Metro,1,5
"152 Church St, Glen Innes NSW 2370, Australia",-29.7381427,151.7376761,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,38,2370,Regional,1,100
"80 Princes Hwy, Narooma NSW 2546, Australia",-36.2169752,150.1277033,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,39,2546,Regional,1,100
"King St, Coolongolook, NSW, 2423 ",-32.2188348,152.3220956,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,40,2423,,1,10
"502/504 Peel St, Tamworth NSW 2340, Australia",-31.0970389,150.9361899,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,41,2340,Regional,1,100
"85 South St, Ulladulla NSW 2539, Australia",-35.3595695,150.475396,Fast Cities Australia Pty Ltd,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,42,2539,Regional,1,100
"250 Sydney Rd, Kelso NSW 2795, Australia",-33.41885933,149.6271068,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,43,2795,Regional,1,100
"4 Commercial Rd, Rouse Hill NSW 2155, Australia",-33.6863741,150.9230744,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,44,2155,Metro,1,5
"220 Taren Point Rd, Caringbah NSW 2229, Australia",-34.0295487,151.1209819,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,45,2229,Metro,1,5
"1985 Camden Valley Way, Prestons NSW 2170, Australia",-33.9520882,150.855437,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,46,2170,Metro,1,5
"106 Vale St, Cooma NSW 2630, Australia",-36.2370012,149.1260172,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,47,2630,Regional,1,100
"82 Mulgoa Rd, Jamisontown NSW 2750, Australia",-33.7646656,150.6824264,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,48,2750,Metro,1,5
"29 Perry St, Euston NSW 2737, Australia",-34.5765963,142.7428195,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,49,2737,Regional,1,100
"Watson St, Molong NSW 2866, Australia",-33.0962463,148.8703135,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,50,2866,Regional,1,100
"1 Munster St, Port Macquarie NSW 2444, Australia",-31.4275162,152.9105133,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,51,2444,Regional,1,100
"121 Crawford St, Queanbeyan NSW 2620, Australia",-35.3492798,149.23065,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,52,2620,Regional,1,100
"43 Tweed Coast Rd, Bogangar NSW 2488, Australia",-28.3320249,153.5691562,NRMA,4,Two chargers will be provided to service four bays concurrently. Two charging bays will be rated at 175kW per bay (+/- 20%). Two charging bays will be rated at a minimum of 350kW per bay (+/-15%). ,53,2488,Regional,1,100
"525 David St, Albury NSW 2640, Australia",-36.0801872,146.9192527,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",54,2640,Regional,1,100
"49-59 O'Riordan St, Alexandria NSW 2015, Australia",-33.9141611,151.1948556,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",55,2015,Metro,1,5
"Jessie St, Armidale NSW 2350, Australia",-30.51297852,151.6635439,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",56,2350,Regional,1,100
"265 Parramatta Rd, Auburn NSW 2144, Australia",-33.8377201,151.0280802,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",57,2144,Metro,1,5
"84 Kerr St, Ballina NSW 2478, Australia",-28.8596965,153.5591493,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",58,2478,Regional,1,100
"1 Perry St, Batemans Bay NSW 2536, Australia",-35.7073463,150.175802,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",59,2536,Regional,1,100
"176 Auckland St, Bega NSW 2550, Australia",-36.6779701,149.8404382,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",60,2550,Regional,1,100
"Blue Gum Rd, Jesmond NSW 2299, Australia",-32.8980296,151.6918902,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",61,2299,Metro,1,5
"5 Charlton St, Woy Woy NSW 2256, Australia",-33.4884791,151.3226386,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",62,2256,Metro,1,5
"71 Spring St, Bondi Junction NSW 2022, Australia",-33.8925239,151.2478264,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",63,2022,Metro,1,5
"1 Art Gallery Rd, Campbelltown NSW 2560, Australia",-34.07280739,150.8091418,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",64,2560,Metro,1,5
"345 Victoria Ave, Chatswood NSW 2067, Australia",-33.7945647,151.18613,"Tesla Motors Australia, Pty Ltd",9,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",65,2067,Metro,1,5
"211 Pacific Hwy, Coffs Harbour NSW 2450, Australia",-30.30829002,153.1019758,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",66,2450,Regional,1,100
"19 Princes Hwy, Figtree NSW 2525, Australia",-34.4366153,150.8632982,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",67,2525,Metro,1,5
"1 Bay St, Jindabyne NSW 2627, Australia",-36.4223723,148.6287558,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",68,2627,Regional,1,100
"Hope St, Blaxland NSW 2774, Australia",-33.7452292,150.6101288,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",69,2774,Metro,1,5
"15666 Hume Hwy, Marulan NSW 2579, Australia",-34.7193791,149.9951914,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",70,2579,,1,10
"1 Jondaryan Ave, Griffith NSW 2680, Australia",-34.2891433,146.050738,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",71,2680,Regional,1,100
"407 Moppett St, Hay NSW 2711, Australia",-34.5083374,144.842864,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",72,2711,Regional,1,100
"279 Condamine St, Manly Vale NSW 2093, Australia",-33.7857715,151.2664574,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",73,2093,Metro,1,5
"2 Central Ave, Eveleigh NSW 2015, Australia",-33.89558829,151.1957595,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",74,2015,Metro,1,5
"72-78 Brook St, Muswellbrook NSW 2333, Australia",-32.2632046,150.8908563,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",75,2333,Regional,1,100
"103 Tibbereena St, Narrabri NSW 2390, Australia",-30.3237194,149.7807558,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",76,2390,Regional,1,100
"74 Benjamin Lee Dr, Raymond Terrace NSW 2324, Australia",-32.7608565,151.7750902,"Tesla Motors Australia, Pty Ltd",15,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",77,2324,Regional,1,100
"260 Peisley St, Orange NSW 2800, Australia",-33.28036642,149.1045685,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",78,2800,Regional,1,100
"Peak Hill Rd, Parkes NSW 2870, Australia",-33.1208795,148.1745229,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",79,2870,Regional,1,100
"North Ter, Bankstown NSW 2200, Australia",-33.9172635,151.0388392,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",80,2200,Metro,1,5
"249 Sheridan St, Gundagai NSW 2722, Australia",-35.0628786,148.1018724,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",81,2722,Regional,1,100
"46 Wynter St, Taree NSW 2430, Australia",-31.9091286,152.4602752,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",82,2430,Regional,1,100
"162 Rouse St, Tenterfield NSW 2372, Australia",-29.0565237,152.0181884,"Tesla Motors Australia, Pty Ltd",4,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",83,2372,,1,10
"Wagga Wagga, NSW, 2650",-35.13038031,147.341831,"Tesla Motors Australia, Pty Ltd",6,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",84,2650,Regional,1,100
"68 Lead St, Yass NSW 2582, Australia",-34.8436517,148.9141404,"Tesla Motors Australia, Pty Ltd",12,"Each charging bay will have a rated output of at least 250kW, with 2+ bays having a rated output of 350kW. ",85,2582,Regional,1,100
"218 Katoomba St, Katoomba NSW 2780, Australia",-33.7177144,150.3112842,Zeus Renewables Pty Ltd,4,"EVSE constructed at the site will consist of two Tritium chargers, one 350kW PK350 and one 150kW PKM150. Each charger has two bays.",86,2780,Metro,1,5
"1 Rider Blvd, Rhodes NSW 2138, Australia",-33.8351248,151.084473,Ampcharge,8," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",1,2138,Metro,2,5
"10 Park St, Mona Vale NSW 2103, Australia",-33.6759177,151.3053635,Ampcharge,6," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",2,2103,Metro,2,5
19 Roseby St Drummoyne NSW 2047 Australia,-33.8555291,151.1621109,Ampcharge,8," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",3,2047,Metro,2,5
"542 Parramatta Rd, Ashfield NSW 2131, Australia",-33.8755483,151.1284638,Ampcharge,4," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",4,2131,Metro,2,5
"6 Castle St, Castle Hill NSW 2154, Australia",-33.7301746,151.0064188,Ampcharge,6," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",5,2154,Metro,2,5
Blue St North Sydney NSW 2060 Australia,-33.840949,151.2074446,Ampcharge,8," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",6,2060,Metro,2,5
"M4 Motorway, Eastern Creek NSW 2766, Australia",-33.7966292,150.8487996,Ampcharge,10," The rated capacity of all chargers will be a minimum of 300kW ( HYC300), With the HYC400 capable of up to 400kW.",7,2766,Metro,2,5
"Bp Boambee, CNR PACIFIC HWY AND SAWTELL ROAD, BOAMBEE NSW 2450, Australia",-30.3435365,153.0849796,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,8,2450,Regional,2,100
"Bp Bonnyrigg, CNR COWPASTURE & NTH LIVERPOOL RDS, Bonnyrigg NSW 2177, Australia",-33.8930618,150.8891259,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,9,2177,Metro,2,5
"Bp Dundas, 256 Kissing Point Rd, Dundas Valley NSW 2117, Australia",-33.7989253,151.0543765,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,10,2117,Metro,2,5
"Bp Guildford (NSW), 257 Guildford Rd, Guildford NSW 2161, Australia",-33.8544,150.989,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,11,2161,Metro,2,5
"Bp Kennedy Drive, CNR KENNEDY DVE & DUCAT ST, Tweed Heads NSW 2485, Australia",-28.18573,153.52601,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,12,2485,Regional,2,100
"Bp Marsden Park, 851 Richmond Road, Marsden Park NSW 2765, Australia",-33.7195283,150.8449026,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,13,2765,Metro,2,5
"Bp Mona Vale, 1721 Pittwater Rd, Mona Vale NSW 2103, Australia",-33.680459,151.302493,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,14,2103,Metro,2,5
"Bp Mortdale, 21 Boundary Rd, Mortdale NSW 2223, Australia",-33.970669,151.073689,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,15,2223,Metro,2,5
"Bp Normanhurst, 155 Pennant Hills Rd, Normanhurst NSW 2076, Australia",-33.7245,151.0901,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,16,2076,Metro,2,5
"Bp Potts Hill Truckstop, 155-157 Rockwood Road, Yagoona NSW 2199, Australia",-33.8953812,151.0366997,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,17,2199,Metro,2,5
"Bp Rozelle, Cnr VIC Rd & Evans St, Rozelle NSW 2039, Australia",-33.8653,151.1716,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,18,2039,Metro,2,5
"Bp Tighes Hill, 110 Elizabeth St, Tighes Hill NSW 2297, Australia",-32.9068975,151.7590522,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,19,2297,Metro,2,5
"Bp Young, Cnr Zouch and Edward Streets, Young NSW 2594, Australia",-34.3134008,148.2979356,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,20,2594,Regional,2,100
"Charter Hall Carnes Hill Marketplace, Corner Cowpasture & Kurrajong Roads, Horningsea Park NSW 2171, Australia",-33.9373818,150.8450395,BP,8,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station.,21,2171,Metro,2,5
"Charter Hall Lake Macquarie, 46 Wilson Road, Mount Hutton NSW 2290, Australia",-32.9836613,151.6731423,BP,8,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station.,22,2290,Metro,2,5
"Charter Hall Rutherford Marketplace, 1 Hillview St, Rutherford NSW 2320, Australia",-32.7156085,151.5265817,BP,8,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station.,23,2320,Regional,2,100
"Hungry Jacks Lismore, 48 Ballina Rd, Lismore NSW 2480, Australia",-28.8138931,153.2795937,BP,4,2 bays can be serviced by the 175kW EV Charging station and 2 bays can be serviced by the 300kW EV Charging station,24,2480,Regional,2,100
"1 Kullaiba Rd, Kotara NSW 2289, Australia",-32.9392623,151.7096647,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,25,2289,Metro,2,5
"1 Leicester St, Chester Hill NSW 2162, Australia",-33.8824031,151.0008372,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,26,2162,Metro,2,5
"120 Fairford Rd, Padstow NSW 2211, Australia",-33.9439754,151.035082,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,27,2211,Metro,2,5
"13 Wandella Rd, Miranda NSW 2228, Australia",-34.0320622,151.1000907,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,28,2228,Metro,2,5
"166 Mona Vale Rd, St Ives NSW 2075, Australia",-33.7298085,151.1590724,Fast Cities Australia (Evie Networks),6,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,29,2075,Metro,2,5
"17 Smith St, Chatswood NSW 2067, Australia",-33.7862615,151.1982009,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,30,2067,Metro,2,5
"2 Castle St, Castle Hill NSW 2154, Australia",-33.7317813,151.0054643,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,31,2154,Metro,2,5
"20 Blamey St, Revesby NSW 2212, Australia",-33.9530207,151.0149436,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,32,2212,Metro,2,5
"205 Old Hume Hwy, Mittagong NSW 2575, Australia",-34.447062,150.4368979,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,33,2575,Regional,2,100
"215 Condamine St, Balgowlah NSW 2093, Australia",-33.7934187,151.2647982,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,34,2093,Metro,2,5
"225 Forest Rd, Hurstville NSW 2220, Australia",-33.9671563,151.1029346,Fast Cities Australia (Evie Networks),4,Each charging station will be equipped with 2 Tritium PKM400 modular ultra-fast chargers. All 4 bays will charge up to 400kW.,35,2220,Metro,2,5
