asset_name,network_element,network_element_str,network,latitude,longitude,augmentation_invest,replacement_invest,connections_invest,opex,other_invest,total_invest,deferrable_invest,invest_year,invest_year_str,commitment_year,email,phone,info_link,apr_link,data_currency,next_update,investment_description,demand_growth,constraint_season,annual_deferral_pool,wacc_rate,depr_rate
WILLOUGHBY,TS,Transmission Station,Ausgrid,-33.8170872,151.1854526,,22.5,,112500,,22.5,22.5,2027,2027,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replacement of 33kV switchgear at Willoughby STS.,,"Summer, Winter",1.34,0.0344,0.025
FDR 260 BEACONSFIELD BSP - ZETLAND,STL,Subtransmission Line,Ausgrid,-33.9150144,151.1871919,0.7,,,3500,,0.7,0.7,2024,2024,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Loop Zetland 132/11kV zone into 92P and retire 260.,,Summer,0.04,0.0344,0.025
FDR 923 MASON PARK STSS - BURWOOD ,STL,Subtransmission Line,Ausgrid,-33.85644543,151.0742523,,12.4,,62000,,12.4,12.4,2025,2025,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace 132kV feeders 923 & 924 oil filled UG sections.,,Summer,0.74,0.0344,0.025
FDR 9E1 SYDNEY EAST BSP - KURINGAI STS,STL,Subtransmission Line,Ausgrid,-33.72595648,151.2083165,,10,,50000,,10,10,2025,2025,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace 132kV feeders 9E1 and 9E2 oil filled UG sections.,,Summer,0.59,0.0344,0.025
FDR 769 PEAKHURST STS - BLAKEHURST,STL,Subtransmission Line,Ausgrid,-33.96588876,151.0626045,,14.5,,72500,,14.5,14.5,2027,2027,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace Fdr 769 & 770 with one  33kV feeder.,,Summer,0.86,0.0344,0.025
FDR 9SA - BEACONSFIELD BSP TO CAMPBELL STREET ZS,TL,Transmission Line,Ausgrid,-33.91501442,151.1871919,,32.2,,161000,,32.2,32.2,2024,2024,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace remaining oil-filled portions of 132kV feeder 9SA.,,"Summer, Winter",1.91,0.0344,0.025
FDR 264 - BEACONSFIELD BSP TO KINGSFORD ZS,TL,Transmission Line,Ausgrid,-33.91501442,151.1871919,,26.2,,131000,,26.2,26.2,2025,2025,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace with new 132kV feeder from Beaconsfield BSP to Kingsford ZS.,,Summer,1.56,0.0344,0.025
FDR 91A - BEACONSFIELD BSP TO ST PETERS ZS,TL,Transmission Line,Ausgrid,-33.91501442,151.1871919,,20.2,,101000,,20.2,20.2,2029,2029,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Replace with new 132kV feeder from Beaconsfield BSP to St Peters ZS.,,Summer,1.2,0.0344,0.025
FDR 91X/1 - BEACONSFIELD BSP TO MARRICKVILLE ZS,TL,Transmission Line,Ausgrid,-33.91501442,151.1871919,,1,,5000,,1,1,2028,2028,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Re-arrange connections at Marrickville ZS to allow retirement of 132kV feeder 91X/1.,,Summer,0.06,0.0344,0.025
FDR 91X/2 - CHULLORA STSS TO MARRICKVILLE ZS,TL,Transmission Line,Ausgrid,-33.87887533,151.0658314,7.65,,,38250,,7.65,7.65,2028,2028,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Install new 132kV series reactors to allow retirement of all four oil cables from Chullora STSS.,,Summer,0.45,0.0344,0.025
FDR 92C - CHULLORA STSS TO ST PETERS ZS,TL,Transmission Line,Ausgrid,-33.87887533,151.0658314,7.95,,,39750,,7.95,7.95,2028,2028,,demandmanagement@ausgrid.com.au,(02) 9269 2277,https://www.ausgrid.com.au/Industry/Demand-Management,https://cdn.ausgrid.com.au/-/media/Documents/Reports-and-Research/Network-Planning/DTAPR-2022.pdf?rev=313ff97b28e94dc98fa8a5a0c0a8d581,Dec 2022 DAPR,Q2 2024,Install new 132kV series reactors to allow retirement of all four oil cables from Chullora STSS.,,Summer,0.47,0.0344,0.025
BAIRNSDALE,ZS,Zone Substation,Ausnet Services,-37.80837,147.64766,TBC,,,,,TBC,TBC,2023,2023,,dapr@ausnetservices.com.au,(03) 9695 6000,https://dapr.ausnetservices.com.au/,https://dapr.ausnetservices.com.au/ausnet_data/AusNet%20Services%20DAPR%202023-2027.pdf,Dec 2022 DAPR,Q2 2024,"In the 2020 DAPR, to maintain compliance at BDL, it was proposed to install a third REFCL at a single site. If installing a third REFCL at a single site proves successful, establishing a new zone substation will not be required to maintain REFCL compliance at BDL in the forecast planning period. However, the proposed option was to install a third REFCL along with replacement of the existing No.3 transformer and rearrangement of the 22 kV feeders to accommodate the ASC limitations.",,Winter,,0.0644,0.033
BELGRAVE,ZS,Zone Substation,Ausnet Services,-37.93034,145.36099,TBC,TBC,,,,TBC,TBC,2022,2022,,dapr@ausnetservices.com.au,(03) 9695 6000,https://dapr.ausnetservices.com.au/,https://dapr.ausnetservices.com.au/ausnet_data/AusNet%20Services%20DAPR%202023-2027.pdf,Dec 2022 DAPR,Q2 2024,"Belgrave Zone Substation (BGE) was a tranche two REFCL nominated station, and AusNet successfully achieved ESV compliance in October 2022. The REFCL project included the following key scope items: (1) Installed two new ground fault neutraliser (GFN) Arc Suppression Coil (ASC) units; (2) Installing a new REFCL room to house the inverter, grid balancing unit and the new AC changeover system for the new GFN; (3) Replaced the existing station service transformers with two new 750 kVA kiosk type units; (4) Installed two new 22 kV switched neutral bus kiosks; (5) Replaced the existing capacitor bank with a REFCL compliant metal enclosed capacitor bank; (6) Replaced and installed associated secondary and protection equipment; (7) Installed remote REFCL on BGE13; (8) Additional isolations transformers.",,Summer,,0.0644,0.033
BENALLA,ZS,Zone Substation,Ausnet Services,-36.55601,145.96176,,13.7,,,,13.7,0,2023,2023,,dapr@ausnetservices.com.au,(03) 9695 6000,https://dapr.ausnetservices.com.au/,https://dapr.ausnetservices.com.au/ausnet_data/AusNet%20Services%20DAPR%202023-2027.pdf,Dec 2022 DAPR,Q2 2024,"AusNet is currently  replacing the 22 kV outdoor switchgear and 66 kV bulk oil circuit breakers at Benalla Zone Substation (BN). The condition of these assets has deteriorated considerably, and they now have an elevated risk of failure. These assets pose unacceptable safety, network security, environmental, and plant damage risks from possible destructive failure and subsequent oil fires. There is also concern that the 22 kV switchgear is not capable to the higher REFCL voltages.  A project to address these issues, including the following key scope items; (1) Replace outdoor bulk oil 66 kV circuit breakers with new outdoor 66 kV circuit breakers with estimated total cost of $10.7M and is expected to be implemented by June 2026; (2) Replace 22 kV outdoor switchgear with a new 22 kV indoor switchboard under REFCL program. This project will address asset failure risks due to deteriorated electrical equipment, whilst ensuring integration with the implementation of REFCL technology (see section 13.5.3). The estimated total project cost is approximately $13.7 million and is expected to be implemented by the end of April 2023. Alternative options considered include: (1) Replace 66 kV assets with a new 66 kV ring bus, along with the proposed replacement of the outdoor 22 kV switchgear with a new indoor switchboard. This option is more expensive but only delivers marginally higher benefits than the proposed preferred option; (2) Replace only the highest risk outdoor bulk oil 66 kV circuit breakers and 22 kV circuit breakers in situ. This option is slightly lower in cost than the preferred option but would deliver lower benefits due to the remaining elevated failure risk assets.",,"Summer, Winter",0,0.0644,0.033
BAYSWATER,ZS,Zone Substation,Ausnet Services,-37.83473,145.27189,,20.5,,,,20.5,0,2026,2026,,dapr@ausnetservices.com.au,(03) 9695 6000,https://dapr.ausnetservices.com.au/,https://dapr.ausnetservices.com.au/ausnet_data/AusNet%20Services%20DAPR%202023-2027.pdf,Dec 2022 DAPR,Q2 2024,"AusNet is currently in the early stages of scoping a project to selectively retire and replace assets at the Bayswater Zone Substation (BWR). BWR was established in 1968 and contains outdoor bulk oil 22 kV circuit breakers and instrument transformers that were installed when the station was originally built. Some equipment panels have asbestos containing materials and live exposed wires at the rear of the secondary panels. The condition of these assets, as well as the high voltage transformer bushings, has deteriorated considerably and they now have an elevated risk of failure. These assets pose unacceptable safety, network security, environmental, and plant damage risks from possible destructive failure. A project to address these issues, including the following key scope items, is expected to be implemented in EDPR period 2021-2026: (1) Replace 22 kV outdoor switchgear with three new 22 kV indoor switchboards; (2) Establish a new control room; (3) Replace 22 kV and 66 kV instrument transformers. This project will address asset failure risks due to deteriorated electrical equipment. The total project cost is approximately $20.5 million. Alternative options considered include: (1) Replace 22 kV equipment along with the No.2 66/22 kV transformer. Although this option would deliver higher benefits, these additional benefits are currently insufficient to economically justify the additional cost; (2) Replace 22 kV equipment along with the No.1 and No.2 66/22 kV transformers. Although this option would deliver higher benefits, these additional benefits are currently insufficient to economically justify the additional cost.",,Summer,0,0.0644,0.033
CLYDE NORTH,ZS,Zone Substation,Ausnet Services,-38.09483,145.33297,TBC,,,,,TBC,TBC,2024,2024,,dapr@ausnetservices.com.au,(03) 9695 6000,https://dapr.ausnetservices.com.au/,https://dapr.ausnetservices.com.au/ausnet_data/AusNet%20Services%20DAPR%202023-2027.pdf,Dec 2022 DAPR,Q2 2024,"AusNet is planning to augment the supply capacity at Clyde North Zone Substation (CLN) to avoid overload of the existing two 66/22 kV 20/33 MVA transformers. CLN has energy at risk during both the summer and winter periods. The level of load at risk under outage conditions and 10% POE forecast conditions is 42.4 MVA in summer 2020/21, increasing to 54.1 MVA by 2024/25. Load transfer capacity of 21.9 MVA exists to transfer the load at risk away from the station in the event of a transformer outage.  A project to address the demand growth driven service level risk, including the following key scope items, is planned to be implemented by 2024: (1) Install an additional (third) 66/22kV 20/33 MVA transformer; (2) Install an additional (third) 22 kV indoor switchboard; (3) Install associated protection and control works. Alternative options considered include: (1) Install an additional (third) 66/22kV 20/33 MVA transformer, connected into the existing No.2 22 kV bus alongside the existing No.2 transformer. This is a lower cost option but does not provide for additional feeder exit connections which are required to supply the growing demand; (2) Contract at least 10 MVA of network support via embedded generation; (3) Contract for network support via demand management to reduce demand during risk periods.",,"Summer, Winter",,0.0644,0.033
